  Index  ID    NGC      Type    Magnitude    Size (Arc minutes)    Distance (Light Years)    RA (Hours Min)    Dec (Deg Min)    Constellation    Common Name
-------  ----  -------  ------  -----------  --------------------  ------------------------  ----------------  ---------------  ---------------  --------------------------------
      1  C1    188      Oc      8.1          14                    4800                      00 44.4           +85 20           Cep              Planetary Cluster
      2  C2    40       Pl      11.6         0.6                   3500                      00 13.0           +72 32           Cep              Bow Tie Nebula
      3  C3    4236     Sb      9.7          21x7                  7000000                   12 16.7           +69 28           Dra              Reflection Nebula
      4  C4    7023     Bn      6.8          18x18                 1400                      21 01.8           +68 12           Cep              Iris Nebula
      5  C5    IC 342   Sp      9.2          18x17                 13000000                  03 46.8           +68 06           Cam              Cat's Eye Neb.
      6  C6    6543     Pl      8.8          0.3/5.8               3000                      17 58.6           +66 38           Dra              Cat's Eye Nebula
      7  C7    2403     Sp      8.9          18x10                 14000000                  07 36.9           +65 36           Cam              Open Cluster
      8  C8    559      Oc      9.5          4                     3700                      01 29.5           +63 18           Cas              Cave Nebula
      9  C9    Sh2-155  Bn      7.7          50x10                 2800                      22 56.8           +62 37           Cep              Cave Nebula
     10  C10   663      Oc      7.1          16                    7200                      01 46.0           +61 15           Cas              Bubble Nebula
     11  C11   7635     Bn      7.0          15x8                  7100                      23 20.7           +61 12           Cas              Bubble nebula
     12  C12   6946     Sp      9.7          11x9                  18000000                  20 34.8           +60 09           Cep              Phi Cas Cluster
     13  C13   457      Oc      6.4          13                    -                         01 19.1           +58 20           Cas              Owl or E.T. Cluster
     14  C14   869/884  Oc      4.3          30 & 30               7300                      02 20.0           +57 08           Per              Double Cluster, h & chi Persei
     15  C15   6826     Pl      9.8          0.5/2.3               2200                      19 44.8           +50 31           Cyg              Blinking Planetary
     16  C16   7243     Oc      6.4          21                    2500                      22 15.3           +49 53           Lac              Elliptical Galaxy
     17  C17   147      El      9.3          13x8                  2300000                   00 33.2           +48 30           Cas              Elliptical Galaxy
     18  C18   185      El      9.2          12x9                  2300000                   00 39.0           +48 20           Cas              Cocoon Nebula
     19  C19   IC 5146  Bn      10.0         12x12                 3300                      21 53.5           +47 16           Cyg              Cocoon Nebula
     20  C20   7000     Bn      6.0          120x100               1800                      20 58.8           +44 20           Cyg              North America Nebula
     21  C21   4449     Ir      9.4          5x3                   10000000                  12 28.2           +44 06           CVn              Planetary Nebula
     22  C22   7662     Pl      9.2          0.3/2.2               3200                      23 25.9           +42 33           And              Blue Snowball
     23  C23   891      Sb      9.9          14x2                  31000000                  02 22.6           +42 21           And              Per A Galaxy
     24  C24   1275     Sx      11.6         2.6x1                 230000000                 03 19.8           +41 31           Per              Perseus A
     25  C25   2419     Gc      10.4         4.1                   275000                    07 38.1           +38 53           Lyn              Edge On Galaxy
     26  C26   4244     Sp      10.6         16x2.5                10000000                  12 17.5           +37 49           CVn              Crescent Nebula
     27  C27   6888     Bn      7.5          20x10                 4700                      20 12.0           +38 21           Cyg              Crescent Nebula
     28  C28   752      Oc      5.7          50                    1200                      01 57.8           +37 41           And              Spiral Galaxy
     29  C29   5005     Sb      9.8          5.4x2                 69000000                  13 10.9           +37 03           CVn              Spiral Galaxy
     30  C30   7331     Sb      9.5          11x4                  47000000                  22 37.1           +34 25           Peg              Flaming Star Neb.
     31  C31   IC 405   Bn      6.0          30x19                 1600                      05 16.2           +34 16           Aur              Flaming Star Nebula
     32  C32   4631     Sp      9.3          15x3                  22000000                  12 42.1           +32 32           CVn              Whale Galaxy
     33  C33   6992/5   Sn      -            60x8                  2500                      20 56.4           +31 43           Cyg              East Veil Nebula
     34  C34   6960     Sn      -            70x6                  2500                      20 45.7           +30 43           Cyg              West Veil Nebula
     35  C35   4889     El      11.4         3x2                   300000000                 13 00.1           +27 59           Com              Spiral Galaxy
     36  C36   4559     Sp      9.8          10x4                  32000000                  12 36.0           +27 58           Com              Open Cluster
     37  C37   6885     Oc      5.7          7                     1950                      20 12.0           +26 29           Vul              Edge On Galaxy
     38  C38   4565     Sb      9.6          16x3                  32000000                  12 36.3           +25 59           Com              Needle Galaxy
     39  C39   2392     Pl      9.9          0.2/0.7               4000                      07 29.2           +20 55           Gem              Eskimo or Clown Nebula
     40  C40   3626     Sb      10.9         3x2                   86000000                  11 20.1           +18 21           Leo              Hyades Mel25 Open Cluster
     41  C41   -        Oc      1.0          330                   151                       04 27.0           +16 00           Tau              Hyades
     42  C42   7006     Gc      10.6         2.8                   135000                    21 01.5           +16 11           Del              Spiral Galaxy
     43  C43   7814     Sb      10.5         6x2                   49000000                  00 03.3           +16 09           Peg              Spiral Galaxy
