  Index  ID    NGC     Type      Magnitude  Size (Arc minutes)      Distance (Light Years)  RA (Hours Min)    Dec (Deg Min)    Constellation    Common Name
-------  ----  ------  ------  -----------  --------------------  ------------------------  ----------------  ---------------  ---------------  -----------------------
      1  M1    1952    Sn              8.4  6x4                                       6300  5h 34.5m          +22 01           Tau              Crab Nebula
      2  M2    7089    Gc              6.5  12.9                                     37900  21h 33.5m         -00 49           Aqr              Globular
      3  M3    5272    Gc              6.2  16.2                                     33900  13h 42.2m         +28 23           CVn              Globular
      4  M4    6121    Gc              5.6  26.3                                      7200  16h 23.6m         -26 32           Sco              Globular
      5  M5    5904    Gc              5.6  17.4                                     24500  15h 18.6m         +02 05           Ser              Globular
      6  M6    6405    Oc              4.2  25                                        1600  17h 40.1m         -32 13           Sco              Butterfly Cluster
      7  M7    6475    Oc              3.3  80                                         800  17h 53.9m         -34 49           Sco              Ptolemy's Cluster
      8  M8    6523    Di              6    90x40                                     5200  18h 03.8m         -24 23           Sgr              Lagoon Nebula
      9  M9    6333    Gc              7.7  9.3                                      26700  17h 19.2m         -18 31           Oph              Globular
     10  M10   6254    Gc              6.6  15.1                                     14400  16h 57.1m         -04 06           Oph              Globular
     11  M11   6705    Oc              6.3  14                                        6000  18h 51.1m         -06 16           Sct              Wild Duck Cluster
     12  M12   6218    Gc              6.7  14.5                                     16000  16h 47.2m         -01 57           Oph              Globular
     13  M13   6205    Gc              5.8  16.6                                     25100  16h 41.7m         +36 28           Her              Great Hercules Globular
     14  M14   6402    Gc              7.6  11.7                                     29000  17h 37.6m         -03 15           Oph              Globular
     15  M15   7078    Gc              6.2  12.3                                     33600  21h 30m           +12 10           Peg              Great Pegasus Globular
     16  M16   6611    Oc              6.4  7                                         7000  18h 18.8m         -13 47           Ser              Eagle Nebula
     17  M17   6618    Di              7    11                                        5000  18h 20.8m         -16 11           Sgr              Omega Nebula
     18  M18   6613    Oc              7.5  9                                         4900  18h 19.9m         -17 08           Sgr              Cluster
     19  M19   6273    Gc              6.8  13.5                                     28400  17h 02.6m         -26 16           Oph              Globular
     20  M20   6514    Di              9    28                                        5200  18h 02.6m         -23 02           Sgr              Trifid Nebula
     21  M21   6531    Oc              6.5  13                                        4250  18h 04.6m         -22 30           Sgr              Cluster
     22  M22   6656    Gc              5.1  24                                       10400  18h 36.4m         -23 54           Sgr              Sagittarius Cluster
     23  M23   6494    Oc              6.9  27                                        2150  17h 56.8m         -19 01           Sgr              Cluster
     24  M24   -       MW              4.6  90                                       10000  18h 16.9m         -18 30           Sgr              Sagittarius Star Cloud
     25  M25   IC4725  Oc              6.5  40                                        2000  18h 31.6m         -19 15           Sgr              Cluster
     26  M26   6694    Oc              8    15                                        5000  18h 45.2m         -09 24           Sct              Cluster
     27  M27   6853    Pl              7.4  8.0x5.7                                   1250  19h 59.6m         +22 43           Vul              Dumbbell Nebula
     28  M28   6626    Gc              6.8  11.2                                     18600  18h 24.5m         -24 52           Sgr              Globular
     29  M29   6913    Oc              7.1  7                                         4000  20h 23.9m         +38 32           Cyg              Cluster
     30  M30   7099    Gc              7.2  11                                       26100  21h 40.4m         -23 11           Cap              Globular
     31  M31   224     Sp              3.4  178x63                                 3000000  0h 41.8m          +41 16           And              Andromeda Galaxy
     32  M32   221     El              8.1  8x6                                    3000000  0h 42.8m          +40 52           And              Galaxy
     33  M33   598     Sp              5.7  73x45                                  3000000  1h 33.9m          +30 39           Tri              Triangulum Galaxy
     34  M34   1039    Oc              5.5  35                                        1400  2h 42m            +42 47           Per              Cluster
     35  M35   2168    Oc              5.3  28                                        2800  6h 08.9m          +24 20           Gem              Cluster
     36  M36   1960    Oc              6.3  12                                        4100  5h 36.1m          +34 08           Aur              Cluster
     37  M37   2099    Oc              6.2  24                                        4400  5h 52.4m          +32 33           Aur              Cluster
     38  M38   1912    Oc              7.4  21                                        4200  5h 28.7m          +35 50           Aur              Cluster
     39  M39   7092    Oc              4.6  32                                         825  21h 32.2m         +48 26           Cyg              Cluster
     40  M40   Win4    Ds              8.4  0.8                                        510  12h 22.4m         +58 05           UMa              Winnecke4 Double Star
     41  M41   2287    Oc              4.6  38                                        2300  6h 47m            -20 44           CMa              Cluster
     42  M42   1976    Di              4    85x60                                     1600  5h 35.4m          -05 27           Ori              Great Nebula in Orion
     43  M43   1982    Di              9    20x15                                     1600  5h 35.6m          -05 16           Ori              De Mairan's Nebula
     44  M44   2632    Oc              3.7  95                                         577  8h 40.1m          +19 59           Cnc              Beehive Cluster
     45  M45   -       Oc              1.6  110                                        380  3h 47m            +24 07           Tau              Pleiades Cluster
     46  M46   2437    Oc              6    27                                        5400  7h 41.8m          -14 49           Pup              Cluster
     47  M47   2422    Oc              5.2  30                                        1600  7h 36.6m          -14 30           Pup              Cluster
     48  M48   2548    Oc              5.5  54                                        1500  8h 13.8m          -05 48           Hya              Cluster
     49  M49   4472    El              8.4  9x7.5                                 60000000  12h 29.8m         +08 00           Vir              Galaxy
     50  M50   2323    Oc              6.3  16                                        3000  7h 03.2m          -08 20           Mon              Cluster
     51  M51   5194    Sp              8.4  11x7                                  37000000  13h 30m           +47 11           CVn              Whirlpool Galaxy
     52  M52   7654    Oc              7.3  13                                        5000  23h 24.2m         +61 35           Cas              Cluster
     53  M53   5024    Gc              7.6  12.6                                     59700  13h 12.9m         +18 10           Com              Globular
     54  M54   6715    Gc              7.6  9.1                                      88700  18h 55.1m         -30 29           Sgr              Globular
     55  M55   6809    Gc              6.3  19                                       17600  19h 40m           -30 58           Sgr              Globular
     56  M56   6779    Gc              8.3  7.1                                      32900  19h 16.6m         +30 11           Lyr              Cluster
     57  M57   6720    Pl              8.8  1.4x1.0                                   2300  18h 53.6m         +33 02           Lyr              Ring Nebula
     58  M58   4579    Ba              9.7  5.5x4.5                               60000000  12h 37.7m         +11 49           Vir              Galaxy
     59  M59   4621    El              9.6  5x3.5                                 60000000  12h 42m           +11 39           Vir              Galaxy
     60  M60   4649    El              8.8  7x6                                   60000000  12h 43.7m         +11 33           Vir              Galaxy
     61  M61   4303    Sp              9.7  6x5.5                                 60000000  12h 21.9m         +04 28           Vir              Galaxy
     62  M62   6266    Gc              6.5  14.1                                     22500  17h 01.2m         -30 07           Oph              Globular
     63  M63   5055    Sp              8.6  10x6                                  37000000  13h 15.8m         +42 02           CVn              Sunflower Galaxy
     64  M64   4826    Sp              8.5  9.3x5.4                               19000000  12h 56.7m         +21 41           Com              Black Eye Galaxy
     65  M65   3623    Sp              9.3  8x1.5                                 35000000  11h 18.9m         +13 05           Leo              Galaxy
     66  M66   3627    Sp              8.9  8x2.5                                 35000000  11h 20.2m         +12 59           Leo              Galaxy
     67  M67   2682    Oc              6.1  30                                        2700  8h 50.4m          +11 49           Cnc              Cluster
     68  M68   4590    Gc              7.8  12                                       33300  12h 39.5m         -26 45           Hya              Globular
     69  M69   6637    Gc              7.6  7.1                                      28000  18h 31.4m         -32 21           Sgr              Globular
     70  M70   6681    Gc              7.9  7.8                                      29400  18h 43.2m         -32 18           Sgr              Globular
     71  M71   6838    Gc              8.2  7.2                                      12700  19h 53.8m         +18 47           Sge              Globular
     72  M72   6981    Gc              9.3  5.9                                      55400  20h 53.5m         -12 32           Aqr              Globular
     73  M73   6994    As              9    2.8                                       2000  20h 59m           -12 38           Aqr              Cluster
     74  M74   628     Sp              9.4  10.2x9.5                              35000000  1h 36.7m          +15 47           Psc              Galaxy
     75  M75   6864    Gc              8.5  6                                        61300  20h 06.1m         -21 55           Sgr              Globular
     76  M76   650     Pl             10.1  2.7x1.8                                   3400  1h 42.4m          +51 34           Per              Little Dumbbell Nebula
     77  M77   1068    Sp              8.9  7x6                                   60000000  2h 42.7m          +00 02           Cet              Galaxy
     78  M78   2068    Di              8.3  8x6                                       1600  5h 46.7m          +00 03           Ori              Nebula
     79  M79   1904    Gc              7.7  8.7                                      42100  5h 24.5m          -24 33           Lep              Globular
     80  M80   6093    Gc              7.3  8.9                                      32600  16h 17m           -22 59           Sco              Globular
     81  M81   3031    Sp              6.9  21x10                                 12000000  9h 55.6m          +69 04           UMa              Bode's Galaxy
     82  M82   3034    Ir              8.4  9x4                                   12000000  9h 55.8m          +69 41           UMa              Cigar Galaxy
     83  M83   5236    Sp              7.6  11x10                                 15000000  13h 37m           -29 52           Hya              Southern Pinwheel
     84  M84   4374    Ln              9.1  5                                     60000000  12h 25.1m         +12 53           Vir              Galaxy
     85  M85   4382    Ln              9.1  7.1x5.2                               60000000  12h 25.5m         +18 12           Com              Galaxy
     86  M86   4406    Ln              8.9  7.5x5.5                               60000000  12h 26.2m         +12 57           Vir              Galaxy
     87  M87   4486    El              8.6  7                                     60000000  12h 30.8m         +12 24           Vir              Galaxy
     88  M88   4501    Sp              9.6  7x4                                   60000000  12h 32.1m         +14 26           Com              Galaxy
     89  M89   4552    El              9.8  4                                     60000000  12h 35.7m         +12 33           Vir              Galaxy
     90  M90   4569    Sp              9.5  9.5x4.5                               60000000  12h 36.8m         +13 10           Vir              Galaxy
     91  M91   4548    Ba             10.2  5.4x4.4                               60000000  12h 35.5m         +14 30           Com              Galaxy
     92  M92   6341    Gc              6.4  11.2                                     26700  17h 17.1m         +43 08           Her              Globular
     93  M93   2447    Oc              6    22                                        3600  7h 44.6m          -23 52           Pup              Cluster
     94  M94   4736    Sp              8.2  7x3                                   15000000  12h 50.9m         +41 08           CVn              Galaxy
     95  M95   3351    Ba              9.7  4.4x3.3                               38000000  10h 44m           +11 42           Leo              Galaxy
     96  M96   3368    Sp              9.2  6x4                                   38000000  10h 46.8m         +11 49           Leo              Galaxy
     97  M97   3587    Pl              9.9  3.4x3.3                                   2600  11h 14.8m         +55 01           UMa              Owl Nebula
     98  M98   4192    Sp             10.1  9.5x3.2                               60000000  12h 13.9m         +14 55           Com              Galaxy
     99  M99   4254    Sp              9.9  5.4x4.8                               60000000  12h 18.9m         +14 26           Com              Galaxy
    100  M100  4321    Sp              9.3  7x6                                   60000000  12h 23m           +15 50           Com              Galaxy
    101  M101  5457    Sp              7.9  22                                    27000000  14h 03.2m         +54 21           UMa              Pinwheel Galaxy
    102  M102  5866    Ln              9.9  5.2x2.3                               40000000  15h 06.5m         +55 46           Dra              Galaxy
    103  M103  581     Oc              7.4  6                                         8500  1h 33.2m          +60 42           Cas              Cluster
    104  M104  4594    Sp              8    9x4                                   50000000  12h 40m           -11 37           Vir              Sombrero Galaxy
    105  M105  3379    El              9.3  2                                     38000000  10h 47.8m         +12 35           Leo              Galaxy
    106  M106  4258    Sp              8.4  19x8                                  25000000  12h 18.9m         +47 19           CVn              Galaxy
    107  M107  6171    Gc              7.9  10                                       20900  16h 32.5m         -13 03           Oph              Globular
    108  M108  3556    Sp             10    8x1                                   45000000  11h 11.5m         +55 40           UMa              Galaxy
    109  M109  3992    Ba              9.8  7x4                                   55000000  11h 57.6m         +53 23           UMa              Galaxy
    110  M110  205     El              8.5  17x10                                  3000000  00h 40.4m         +41 41           And              Galaxy
